Team,HasHighBudget,HasStrongSquadDepth,HasExperiencedCoach,HasRecentTitle,HasLargeFanbase,HasStableManagement,PlaysInLibertadores2025,WasTop6In2024,FightForTitle2025
Flamengo,1,1,1,1,1,1,1,1,1
Palmeiras,1,1,1,1,1,1,1,1,1
Atletico-MG,1,1,1,1,0,0,1,1,1
Gremio,1,1,1,1,0,1,0,0,0
Sao_Paulo,1,1,1,1,1,1,1,1,1
Internacional,1,0,1,0,0,0,1,0,0
Fluminense,0,0,1,1,0,0,1,0,0
Botafogo,0,0,0,0,0,0,1,1,0
Corinthians,1,0,0,0,1,0,0,0,0
Cruzeiro,0,0,1,0,0,1,1,1,0
Athletico-PR,0,0,0,0,0,1,0,0,0
Fortaleza,0,0,1,0,0,1,0,0,0
Bahia,0,0,0,0,0,1,0,1,0
Vasco_da_Gama,0,0,0,0,0,0,0,0,0
Juventude,0,0,0,0,0,1,0,0,0
Vitoria,0,0,0,0,0,0,0,0,0
Mirassol,0,0,0,0,0,0,0,0,0
Santos,0,0,0,1,1,0,0,0,0
Ceara,0,0,0,0,0,0,0,0,0
Sport,0,0,0,0,0,0,0,0,0